Prime default name,English (United States)
MODULE,Moduleeee|Moduleeees
COURSE,Coursee|Coursees
LEARNING_PROGRAM,Learning Programe|Learning Programes
CERTIFICATION,Certificatione|Certificationes
LEARNING_PLAN,Learning Plan|Learning Plans
JOB_AID,Job Aid|Job Aids
CATALOG,Catalog|Catalogs
SKILL,Skill|Skills
BADGE,Badge|Badges
ANNOUNCEMENT,Announcement|Announcements
MY_LEARNING,My Learning|My Learning
LEADERBOARD,Leaderboard|Leaderboard
EFFECTIVENESS,Effectiveness|Effectiveness
PREREQUISITE,Prerequisite|Prerequisites
PREWORK,Prework|Prework
CORE_CONTENT,Core Content|Core Content
TESTOUT,Testout|Testout
SELF_PACED,Self Paced|Self Paced
BLENDED,Blended|Blended
CLASSROOM,Classroom|Classrooms
VIRTUAL_CLASSROOM,Virtual Classroom|Virtual Classroom
ACTIVITY,Activity|Activities
